text,split
문정부관료들하고 민노총 대갈급들은 소득평준화니 재벌개혁이니 공정이니로 사회약자들을 부추기고 선동한다 하여 사회를 어지럽히고 분열을 가져옴으로써 결과론은 약자나 극한서민층을 무한정으로 증폭시키는걸 목적으로 삼는다 약자들은 받아먹는것에 익숙함을 알기때문이다 이름정신처럼 모두 열심히 일하면 잘먹고 잘살게가 아니고 모두 그저그렇게 살게하여 동냥주듯이 주는거에 만족하라고 권력으로 질들이려한다  이러다간 나라 무너진다,train
한화도 만나고 키움도 만나고 엔씨도 만나고  대체 뭐하는 여자들이길래 그 둘이 죄다 다 만나고다녀?;;,train
이름이가 친일파 제대로 제거하지못한것은 확실한 사실아닌가? 그때문에 친일파 후손들은 살아남아 잘살고 독립운동가 후손은 못사는 경우도 있다 우리사회가 독립운동가 후손에게 더욱 대접을해야 나라가 위기에 처할때 또다른 애국자가 있을것이다무엇보다 이름 친일식민강단사학을 제거하고 민족주의 시관으로 역사를 제대로 정립해야한다!!,train
별 OOO을 다보겠내,train
근데 6월말 *차  7월초 *차는 좀 이상하군요 간격이 너무 짧은데  ?,train
와~악 이름 감동~~~~ㅎㅎㅎㅎ,train
드라마에서봐요하트시그널 팬이였는데힘내세요,train
유족분들  이제 그만하셔도 됩니다  슬프지않은 죽음은 없습니다,train
이름씨 빠이팅 하세요응원 합니다이름 씨도빠이팅 하세요응원합니다두분 모두좋은 결과 있으시길 기원 합니다잘 되실꺼예요~^^,train
어떤 정도가 잔인한건지?중학생 어린 아이를 건장한 아저씨 둘이서 결박하고 린치하고 처형하듯 죽였는데  너무 안타깝고 무서운 이 범죄가?,train
내용물은 옳은 말이네  잔치집에 참석했으면 축하해줍시다  참가한 운동 선수들이 뭔 죄니  ,train
안타까운 우리젊은이들  지난정부에기대 해봤건만 결국 붕어가재개구리를 위한다는는 허울뿐 자기들 뱃속 차리기에만 급급했음 ,train
골키퍼있다고 골안들어가냐? 자핑 끝까지밀어붙여라 국민들이 응원한다,train
말을 제기뽑기로 고른다고? 실화냐,train
저게 죄임? 돈 있는 사람이 돈으로 불법이 아닌 일을 한다는 게 죄임? 이름는 돈이 많고 저 여자는 이름한테 끌린 거잖아  그럼 된 거 아냐? 이름가 돈으로 마약을 했어? 살인을 했어? 저건 죄가 아니야  저게 자본주의의 모습이야 ,train
윤 이 되면 이름 이름 사면하겠네,train
어맛 야스 로망 우즈남 넘나 야성적이긔,train
그치만 룸싸롱  단란주점은 허용 ㅋㅋ,train
조선절세미녀 잘 살아요 ,train
잘했다!! 장하다!!!,train
세상에 동물도 그렇게는 목욕안시킨다 이여자 정신세계가 심히 놀랍다,train
사실상 통일이 가능한가? 가능하더라도 해야할까? 둘다 아니라고 본다,train
어느 대학이 성적 미달 학생에게 장하금을 저리 준답니까?아버지가 이름 아닌 일반인에게도 줍니까?,train
힘내시고 빨리 회복하시길 바랍니다~,train
앞으로가 기대되는 선수!!!! 잘했어요!!!!,train
종교는 이미 그본질이 잊혀진지 오래고 본인들의 사리사욕과 이권에이 부합하는 교리만 남았다 언젠가 인류는 전쟁도 질병도아닌 종교로인해 멸망할것이다 ,train
죄인이라서가 아닌데 왜 변호사 출신이 분별없이 그리 말하누?,train
보수 정권교체위한 적절한 지적이다,train
신의를 저버린 자=배신자,train
대사  국회의원 이런것들 면책권이 이름여  면책권을 폐지해야 자국민이 산다 ,train
??죽은딸한테 용서를 어떻게 구해??,train
이름형 당신읏 도덕책 !,train
여론조사가 맞다면 보수 우파 들아 지고있단다 !! 단결하라 !!!,train
병원가서 진단받고 치료가 필요할듯,train
감염률이 높은 수도권부터 한달 전 접종 했었으면  ,train
중국 북한에 강한사람 한테 투표하자,train
올림픽 경기에만 집중하지… 참나… ,train
저 정도면 신념으로 인정함  ,train
아니 코 피어싱 했다고 아팠겠다고 형들한테 얘기해주고 있잖아 ;;,train
ㅋㅋ 이사람아,train
6 25 겪은지 100년도 안되고 아직 휴전인 나라에서ㅋㅋ 당연한거 아니냐!!! 휴전중인거 잊어버렸냐?????? 휴전중이라고 휴전ㅋ,train
기회와 여건이 된다면 한국 뜨고 일본으로 귀화하고 싶은 한국인 손~~!!!,train
아이고~거기 머하러 드가노 국짐 당내에서 경선함 해봐라 너덜너덜 영혼까지 털리고 지지자들 이빨좋은 국짐 후보한테 넘겨주고 팽당한다 이름 그림대로 되가네 ,train
이름형이 모래시계검사다  이름형 화이팅합시다 !!,train
백신만 넉넉하게 확보되어 있다면 전국 병의원과 보건소 등 의료 기관에서 순식간에 국민들에게 접종 가능한 거 아닌가요 ?? 지금 나라에 백신이 모자라 조금씩 꺼내 찔끔 찔끔 접종하는 거 아닌가요 ?? 그렇담 이름 탄핵가야 하는 거 아닌가요 ???,train
문통 대화하지말라고 국민이 다들예기하는데귀가 막혔나?,train
난 이름이 대통령이 되면 어떻하나 걱정 많이했는데  그런 염려는 안해도 된다는 분석이  지지율이 40퍼센트 대가 되어야 대통령이 되는데  이름은 단 한번도 30퍼센트 대를 넘지 못했다는  고정 지지층은 있는데  워낙 레디컬한 이미지로 반감이 많아서  중도 표의 확장성이 없다는 것  또한 당내 경선에서 이기려면 친문의 표를 얻어야 하는데  이름이 대통령 되면 친문은 싹 숙청 될테니  당내 경선에서 통과하기 어려워  이름의 기본시리즈에 열광하는 고정지지층 팬덤이 있는 것이지  그게 당선권에서는 멀다는 분석 ,train
공부하고자 하는 의지가 없는 애들을 공부 시키려면 쌍방향이 필수적이기는 하지,train
이 사람은 진짜다,train
아직도일본은한국을신민지로생각하고무시하네!!스포츠인데너무하네~~이름한테굽신거리라고해랴?이친일신문아?,train
지돈으로? 세금으로 지원한거다 시민단체 유지? 국고 지원금으로 유지 되는거다 엄 청 많은 단체 국고낭비다 이들 단체 명단 공개하고 지원금액 공개하고 지원금 사용내역도 공개하라 직업이 시민단체인 자 천지다 각 시민단체 회장 명단과 급여도 공개하라 급여명목의 활동비 출장비로 위장된거 다안다 무 대가 봉사한다는 그들 진실이아니다,train
흐미~우짜쓰까잉~,train
제덕이냐 내덕이냐,train
깡패가 인구가 너무많고 돈까지 많아 문제다 ,train
제발 혼자 죽어라 다른사람 피해주지말고!퀵보드 업체와 정부가 뭐 그렇고 그런 작품 아냐? 안전법규를 제대로 만들고 시행하던지해야지 길바닥 여기저기 내팽겨쳐놓고 흉물이 따로없다 오토바이나 전동퀵보드나 똑같이 취급해야지 안전장비도 없이 타다가 혼자 D지면 모를까 애들이나 지나가던 행인하고 부딪히면 당하는 사람도 크게다친다 더군다나 애들은 더 위험해 체격이 작아서 부딪히면 큰사고다 제발 어린애들과 시민을 좀 생각해라,train
이너마는 입이 문제야!!!!!니나잘하슈,train
자발적 거리두기가 필요한 시기입니다 ,train
이름이 자진사퇴도 안했는데 뭔 벌써 파문이 끝나냐??,train
예약시간을 아침9시부터 했었어야죠,train
서울이 문제다  ,train
이름와 같은 동족이라 했지 ,train
정권바뀌면 이름보다 저인간우선 어케좀 안되나?,train
헤어진 사람이 저렇게 나오면 정말 질릴듯정신쇠약증 걸릴꺼야 ,train
결과는 뻔한데 국민들 관심끄는덴 실패한것같다 ,train
'해일'은 \페미니즘은 사회  경제  문화 전반에 걸쳐 남성과 동등한 권리와 기회를 가짐으로써 불평등을 해소하고자 하는 것을 목적으로 한다\며 \이는 페미니즘이 두 권리가 갈등하는 의제가 아니라 본질적으로 하나의 권리를 추구하는 성평등운동임을 반증한다\고 했다 기사는 전혀 안 읽는 사람 투성이라 댓글로 남김  이 정도 상식도 거부하는 차별주의자들이 너무 많아서 앞으로가 두렵다  ,train
대통령감이다  멋지다!,train
바람은 계산하는것이 아니고 극복하는것이다   감동이었습니다  안산 선수,train
왜감자칩이지?꿀꽈배기든 뭐든 봉지만 있음 되는거아닌감?,train
ㅋㅋ ㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋ,train
이름가 야구  축구보다 훨 잘하더라,train
진짜 멋있는 이름 아저씨 감사합니다,train
부산여중생 사건처럼 가해 여학생이 각목으로 피해 여학생 머리 내리쳐서 피 터트려서피냄새 맡으니까 더 떄리고 싶어 장면 패러디 하면 바로 방통위에서 제재먹을 각 현실은 더 잔인합니다,train
열세명떼토론? 경매시장도아니고 어린이학급회의장도아니고 웃기는발상이네,train
이 드라마 아직도 하네~~~,train
이름 화이팅 이다,train
중국에 이래 머리가 트인 부모가 있었다니 ,train
이름군의 강하게 버티며 양아치 정치검새 이름 패거리들의 수사방해하는 패악질을 막아냈기 때문에    장모의 구속 판결을 이끌어낸 것이다!!! 이름같앗으면  이름의 장난질에 놀아나다 묻혔을 일이다!!! 장모의 구속은 전적으로 이름군의 온갖 모욕과 모멸을 버티며  지켜낸 성과이다!!! 이름군이 옳았다!!!,train
조국은 딸도 아닌데 딸이라고 마음은 어떨까요?  먹고살려고 별짓 다하고 있어요  일반국민들은 목에 칼이 들어와도 제 자식들은 알아 본다  ,train
이름야 전화좀 받어    내 마음은 그런게 아니라   이름야  ,train
우리나라 남자로 태어나 가장으로 산다는게 고달픔 경제적책임 요즘에는 육아 살림도 도와줘야 됨 ㅠㅠ,train
촛불들다 코로나 걸려 최악 사망입니다! 전세계가 겪고 있는 전염병인데?스스로 조심하고 기다립시다 그런다고 사람들이 다니는것도 아니잖아요!,train
아프간 난민이 불쌍해서 데리고 오는 거보다 미국하고믜 동맹 때문에 데리고 오는 거다,train
강의 완성도로 연기하자고 했을정도면…강의가 어땠던거야,train
지구의 대 반격,train
이름 *등으로 나오는 여론조사는 니들이 없앴다고 기사떴어   어제 ,train
양다리든 쓰리 다리든 뭐가 문제지? 사람 여럿 경험하는 게 나쁜건가? 없다고 하면서 속인게 잘못이라면 몰라도  결혼한 것도 아니고  웃기셔  ,train
이름가 이나운서이름를 남편이라고 소개했었다는증언나왔다는데 이건 또 뭔소린거냐? 이거 동서들이 끝없이나오는거아니냐?,train
방송 3사에서 전부 야구만 보여주지 말고 다양한 경기를 보여주세요,train
일반적인 사람이라면 소방대원들 힘든데 아파도 택시타고 가는데 세상 이상하고 뻔뻔한 사람 많아요ㅠㅠ,train
생태탕은 맛 있더냐? 이름 시즌*,train
이름 잘하고 있다 ㅎ,train
난 올림픽이 중요한게 아니고 문제는 첫째 코로나가 물러났으면하고 둘째로는 지금 찌는듯한 더위가 하루빨리 물러났으면하는 바램 ,train
우와~~ 어쩜 콕 짚어서 저렇게 시원하게 말할수가~~~정말 똑똑하네들,train
이름야 한 10년만 더하자 하차는 노 화이링!!,train
동물 들어가는 올림픽 종목 없애라  진정한 스포츠가 아니다 ,train
장하지만  맘도아프다  ,train
짜증나네 진짜  만만한게 한국이구나~ 양쪽에서 털어대네  말이 안통하지만 기사가 보이면 너무 짜증난다   물고 늘어지지말라고~~ 그리고 욕 아니라며?ㅋㅋ 이제와서 인정하는거냐?? 경기하면서 상대 이길때마다 누가 그딴 미개한 욕지거리를 하냐고~~ 것도 조용한 탁구경기에서~ 진심 역겨운 국민성이다~,train
철저히 조사해서 처벌하고 느그 나라로 돌아가그라!!!,train
결국 폭탄은 다른지역에 미루고 전기만 뽑아먹겠다는 소리잖아 서울에 안사는 국민들을 뭘로 보는거냐,train
정말 멋졌어요 고생 많으셨어요 안산 선수♡,train
우리나라는 자영업자가 너무 많다-줄여야 한다 조금만 더 버티면 망하는 자영업자 많이 나온다-조금만 더 버티자-그러면 자영업자 준다지금 어설프게 풀어주면    자영업자 안줄어든다민주노총은 우리편이고   자영업자는 우리편 아니다  ,train
왜계속 인다기사 올라오는지 모르겠냐?? ㅋㅋ 이미 울나라 언론이 중국한테 넘어가서 반인도 감정 만드려고 조장하는 거잖아  중국이 남녀갈라치기 세대갈등갈라치기 하는거 계속 봐놓고 인도중국 갈라치기하는건 새삼 ㅋㅋ  인도랑 중국 사이 안좋아서 인도 안좋은 기사 계속 올리네,train
이름 선수의 경기결과를 떠나 과정에서 뿜뿜 뿌머내는 긍정 에너지에 정말 감동했고 흐뭇했습니다  우리 MZ세대의 또다른 모습에 새로운 희망을 보았네요 ㅎㅎ,train
어릴때 학교도서관에 있던 이사람 책 읽었는데  초반에 그 내용 그대로 나와서 누군지 알았다 ,train
좌파=공산당 이라고 생각하면 됩니다온갖 부정은 다 저지르면서 겉으론 공정한척깨끗한척  이름을 끝으로 좌파는 사멸되야  ,train
아무리 보수라 하더라도 이런의식을 가진자를 어찌 지지하고 우리를 대변하는 대통령으로 지지한단 말인가? 그렇게 인물이없나 정말 한심하고 이해가 안간다!!,train
야권의 유력주자인 이름 전 검찰총장은 토지매입 과정에서 통장잔고 증명서를 위조한 혐의 등으로 재판을 받는 장모 최모씨를 방어해야 하는 입장이다  이 때문에 권익위 발표가 자칫 윤 전 총장으로 불똥이 튀는 것 아니냐는 관측도 나온다 ,train
탈원전 정책이 위험하냐? 째르노빌  후쿠시마는 뭐냐!,train
인류애자극하는 거지같은기사올리지마라 지구최강국이 20년을 뒤봐줘도 2 일만에 넘어간 나라다 저런꼴나기 싫으면 정신똑바로차려야된다 우리나라도 주변정세가 저나라 못지 않기에 ,train
말씀이 남을 비난하는것도 아니고 각자 자기의 길을 가는거다 하면서 타인을 존중하면서 선의의 경쟁을 하려는 모습 신선하고 좋아요 이름나 이나견 애미추 그외 막말 음모  공작 정치인들과는 확실히 달라 좋군요 원칙과 상식의 정치 발언 신뢰가 갑니다 ,train
알고보면 여자들이 더 얼굴본다   티를 안낼뿐 ㅋㅋ,train
이름 장군님은 대한민국의 희망과 미래에 초석을 놓으셨습니다 ,train
공산당이 한국최저시급이 부러운가보네  이름때 외노자 수입을 위해 만들었던 외국인 임금을 개정해야한다  세계어느나라이든 외국인에 대한 인건비는 국적자의 인건비에 준하지 대한민국 임금에 준해서 주는 건 불합리하다  서민의 고용과 사회안정을 위해선 인건비에 관해서 국적지의 인건비가 적용되어야 사회적 수준이 낮은 곳에서 불법입국을 근본적으로 차단할 수 있다 ,train
체류일본인들 사실상 인질이네 협상하는데 쓸려고,train
파도 파도 미담이였는데 출마 선언 후 본인이 스스로 없던 괴담을 만들어네네  ,train
내용 안 읽고 사진만 보면 비행기 위에 사람들이 테러리스트인듯 보이는데,train
진실은 아무리 감추려고해도 밝혀지는 법~!,train
답은 간단합니다  이름 보다 시야 패스능력 센스가 뛰어난 선수가 같이 뛰어서 이름이 믿고 공격할수 있는 선수가 같이 뛰면 됩니다  그러니까 이름 선발로 기용하라고요 이름 감독님!!,train
부르트니수포였으,train
이름이 보호조치해야된다는건 나만의 상상일까?,train
얼씨구 마구뿌려라 젊은이들 고맙다 다음정권에도 복지를 많이하는 사람 뽑아주시게,train
이름 이름 최고,train
잴보면 딱 이게 떠오른다 쏘시오패스!,train
*에 장단에 맟추든 *에 장단에 맞추든 느그가 믄상관? 우리정부가 얼마나 우스워 보였으면 쟈들이 간섭일까~~켁~,train
